1	T.I.	Departamento de Tecnología
2	Recursos Humanos	Departamento de Recursos Humanos
3	Importaciones	Departamento de Importaciones
4	Administrativos	Los que conversan con los Proveedores
5	Marketing	Se encargar de la publicidad de la empresa
6	Bodega	Se realiza la recepción y despacho de productos
7	Comercial	Se encarga en el contacto del cliente y venta de equipos
8	Logistica	
10	Soporte	Soporte a clientes
11	Contabilidad	Lleva todo lo monetario logístico de la empresa 
12	Proyectos	Encargados en gestión de proyectos para la empresa
13	Asistente Administrativa	Son parte de asistencia del departamento de administrativa
14	Investigacion 	Se encarga de probar y verificar que todos los equipos que llegan funcionen correctamente.
\.


